Stock Name,Day_Change_Percent,Previous_Close,Current_Price,Day_Low,Day_High,Low_52W,High_52W,Percent_Below_High,Suggestion,Market_Cap_Cr,Market_Cap,Industry,Stock_Name,Stock_Symbol,RSI,From_52W_High,Divergence_Signal
DIXON TECHNOLOGIES (INDIA) LIMITED (XNSE:DIXON),-2.38,12629.0,12328.0,12250.0,12711.0,12130.0,18700.0,34.07,SURE HMC BUY,76640,,"Computers, Phones & Household Electronics",,,,,
AVENUE SUPERMARTS LIMITED (XNSE:DMART),-0.34,3800.2,3787.4,3781.2,3824.0,3340.0,4949.5,23.48,SURE LC BUY,247292,,Food & Drug Retailing,,,,,
DR.REDDY'S LABORATORIES LTD (XNSE:DRREDDY),0.28,1265.8,1269.3,1261.1,1275.0,1020.0,1405.9,9.72,WATCH,105382,,Pharmaceuticals,,,,,
ENDURANCE TECHNOLOGIES LIMITED (XNSE:ENDURANCE),-1.25,2582.1,2549.8,2541.0,2599.9,1675.0,3079.9,17.21,WATCH,36321,,Automobiles & Auto Parts,,,,,
SIEMENS ENERGY INDIA LIMITED (XNSE:ENRIN),1.14,2595.5,2625.1,2598.9,2644.0,2508.8,3625.0,27.58,HMC BUY,92431,,Electrical Utilities & IPPs,,,,,
ETERNAL LIMITED (XNSE:ETERNAL),-1.09,284.85,281.75,279.7,284.65,194.8,368.45,23.53,SURE LC BUY,256361,,Software & IT Services,,,,,
EXIDE INDUSTRIES LIMITED (XNSE:EXIDEIND),-0.54,367.15,365.15,364.35,369.75,328.0,431.6,15.4,WATCH,31208,,Automobiles & Auto Parts,,,,,
GREAVES COTTON LIMITED (XNSE:GREAVESCOT),-1.09,190.53,188.45,187.68,192.09,168.25,319.5,41.02,WATCH,4436,,"Machinery, Equipment & Components",,,,,
HINDUSTAN AERONAUTICS LIMITED (XNSE:HAL),-0.27,4421.3,4409.2,4401.1,4476.0,3046.05,5165.0,14.63,LC BUY,295686,,Aerospace & Defense,,,,,
HAPPIEST MINDS TECHNOLOGIES LIMITED (XNSE:HAPPSTMNDS),-1.36,484.05,477.45,475.65,487.0,474.2,773.8,38.3,WATCH,7172,,Software & IT Services,,,,,
HBL Engineering Limited (XNSE:HBLENGINE),1.8,881.6,897.5,876.25,914.8,405.0,1122.0,20.01,FIRST MC BUY,24438,,"Machinery, Equipment & Components",,,,,
HCL TECHNOLOGIES LIMITED (XNSE:HCLTECH),-0.82,1674.7,1660.9,1650.5,1676.4,1302.75,2005.46,17.18,LC BUY,453092,,Software & IT Services,,,,,
HDFC BANK LIMITED (XNSE:HDFCBANK),-0.51,997.2,992.1,987.7,997.2,810.13,1020.5,2.78,WATCH,1534146,,Banking Services,,,,,
HDFC NIFTY Bank ETF (XNSE:HDFCNIFBAN),-0.3,60.68,60.5,60.41,60.71,48.51,62.3,2.89,WATCH,2878,,#VALUE!,,,,,
Hero MotoCorp Limited (XNSE:HEROMOTOCO),-1.08,5698.5,5637.0,5611.0,5720.0,3344.0,6388.5,11.76,LC BUY,114017,,Automobiles & Auto Parts,,,,,
HINDALCO INDUSTRIES LIMITED (XNSE:HINDALCO),0.98,864.45,872.9,861.0,874.75,546.45,882.3,1.07,WATCH,195104,,Metals & Mining,,,,,
HINDUSTAN UNILEVER LIMITED (XNSE:HINDUNILVR),0.14,2282.2,2285.4,2275.0,2290.0,2101.13,2705.1,15.52,SURE HLC BUY,536224,,Personal & Household Products & Services,,,,,
ICICI BANK LIMITED (XNSE:ICICIBANK),-0.69,1359.8,1350.4,1348.5,1362.0,1186.0,1500.0,9.97,FIRST HLC BUY,971901,,Banking Services,,,,,
VODAFONE IDEA LIMITED (XNSE:IDEA),-0.67,12.02,11.94,11.89,12.09,6.12,12.22,2.29,WATCH,130228,,Telecommunications Services,,,,,
IDEAFORGE TECHNOLOGY LIMITED (XNSE:IDEAFORGE),0.61,480.1,483.05,477.8,488.8,304.2,659.85,26.79,WATCH,2077,,Aerospace & Defense,,,,,
THE INDIAN HOTELS COMPANY LIMITED (XNSE:INDHOTEL),-0.07,740.1,739.6,736.45,744.5,672.6,894.9,17.35,LC BUY,105348,,Hotels & Entertainment Services,,,,,
INTERGLOBE AVIATION LIMITED (XNSE:INDIGO),-0.15,5081.5,5074.0,5031.0,5098.0,3945.0,6232.5,18.59,LC BUY,196156,,Passenger Transportation Services,,,,,
INFOSYS LIMITED (XNSE:INFY),-0.44,1663.4,1656.1,1651.7,1668.8,1307.0,1982.8,16.48,SURE HLC BUY,669988,,Software & IT Services,,,,,
