symbol,rev_growth_score,pat_growth_score,roe_score,de_score,promoter_score,pe,pb,roe_pct,de_ratio,rev_growth_pct,pat_growth_pct,promoter_pct,eps,book_value,market_cap,last_updated,source
AXISBANK,6,6,2,1,0,15.44,1.88,12.2,1.1,0.37,0.37,8.4,84.45,692.12,4055235559424.0,2026-05-27,yfinance
BAJAJAUTO,3,3,3,3,3,0.0,0.0,0.0,0.1,2.03,2.03,55.2,0.0,0.0,0.0,2026-05-27,AO-FULL-quote
BAJAJFINSV,3,3,2,2,3,29.64,3.71,12.51,0.4,0.47,0.47,60.6,61.04,487.99,2891861196800.0,2026-05-27,yfinance
BAJAJHLDNG,3,3,2,2,2,12.19,1.61,13.17,0.0,-1.39,-1.39,0.0,866.03,6573.61,1174814326784.0,2026-05-27,yfinance
BAJFINANCE,5,5,4,0,3,30.52,5.08,16.64,1.8,0.1,0.1,54.7,30.51,183.37,5789775822848.0,2026-05-27,yfinance
BALRAMCHIN,5,5,1,2,2,28.52,2.59,9.07,0.0,0.1,0.1,0.0,18.59,204.87,107074117632.0,2026-05-27,yfinance
BANDHANBNK,7,6,1,2,2,27.08,1.29,4.78,0.0,2.71,2.71,0.0,7.6,158.96,331595841536.0,2026-05-27,yfinance
BANKBARODA,5,5,2,1,3,7.06,0.84,11.97,1.2,0.15,0.15,63.2,38.39,320.83,1401180651520.0,2026-05-27,yfinance
BANKINDIA,5,5,2,2,2,6.18,0.74,12.04,0.0,1.39,1.39,0.0,23.78,197.53,669242163200.0,2026-05-27,yfinance
BAYERCROP,2,2,5,2,2,30.07,6.64,22.08,0.0,2.56,2.56,0.0,153.48,695.07,207443705856.0,2026-05-27,yfinance
BBTC,3,3,4,2,2,8.62,1.52,17.65,0.0,0.22,0.22,0.0,178.16,1009.28,107211505664.0,2026-05-27,yfinance
BEL,5,5,6,3,3,50.62,12.77,25.23,0.1,-0.24,-0.24,51.1,8.28,32.82,3063528292352.0,2026-05-27,yfinance
BERGEPAINT,6,6,4,2,2,54.66,8.89,16.26,0.0,2.21,2.21,0.0,9.64,59.29,614425165824.0,2026-05-27,yfinance
BHARTIARTL,3,3,4,1,3,41.78,7.26,17.39,1.4,0.29,0.29,55.9,44.33,254.97,11282624282624.0,2026-05-27,yfinance
BHEL,7,6,1,2,2,91.82,5.62,6.12,0.0,1.1,1.1,0.0,4.6,75.17,1470649466880.0,2026-05-27,yfinance
BIKAJI,3,3,4,2,2,61.98,9.95,16.05,0.0,-0.17,-0.17,0.0,10.29,64.1,159919669248.0,2026-05-27,yfinance
BIOCON,7,6,1,2,2,152.72,2.02,1.33,0.0,-0.91,-0.91,0.0,2.83,213.54,699875000320.0,2026-05-27,yfinance
BIRLACORPN,3,3,1,2,2,13.9,1.05,7.57,0.0,0.47,0.47,0.0,72.42,956.38,77502029824.0,2026-05-27,yfinance
BLS,3,3,6,2,2,15.92,4.42,27.8,0.0,-0.19,-0.19,0.0,16.64,59.86,109036380160.0,2026-05-27,yfinance
BLUESTARCO,3,3,4,2,2,64.73,9.92,15.33,0.0,0.99,0.99,0.0,25.6,167.0,340687552512.0,2026-05-27,yfinance
BORORENEW,3,3,2,2,2,53.54,6.05,11.3,0.0,-0.37,-0.37,0.0,9.48,83.87,71207747584.0,2026-05-27,yfinance
BOSCHLTD,5,5,4,2,2,38.38,7.16,18.65,0.0,0.56,0.56,0.0,938.88,5033.04,1062803341312.0,2026-05-27,yfinance
BPCL,3,3,6,2,3,5.08,1.31,25.81,0.5,0.84,0.84,52.5,60.49,234.37,1312324452352.0,2026-05-27,yfinance
BRITANNIA,2,2,6,2,3,50.74,25.17,49.61,0.4,-0.05,-0.05,50.6,105.16,211.99,1285152702464.0,2026-05-27,yfinance
CANBK,5,5,4,2,2,5.6,1.03,18.47,0.0,0.76,0.76,0.0,23.95,129.69,1216918585344.0,2026-05-27,yfinance
CANFINHOME,5,5,4,2,2,10.22,1.85,18.15,0.0,-0.79,-0.79,0.0,81.52,449.13,110910734336.0,2026-05-27,yfinance
CAPLIPOINT,5,5,4,2,2,24.06,4.38,18.2,0.0,-0.61,-0.61,0.0,84.08,462.02,153794461696.0,2026-05-27,yfinance
CARBORUNIV,6,6,1,2,2,100.19,5.02,5.01,0.0,-0.8,-0.8,0.0,10.33,206.19,197160779776.0,2026-05-27,yfinance
CASTROLIND,3,3,6,2,2,19.11,9.65,50.49,0.0,0.73,0.73,0.0,9.7,19.21,183353606144.0,2026-05-27,yfinance
CCL,6,6,4,2,2,36.74,6.08,16.56,0.0,0.67,0.67,0.0,29.15,176.05,142655438848.0,2026-05-27,yfinance
CGCL,6,6,2,2,2,18.78,2.54,13.53,0.0,-0.47,-0.47,0.0,10.11,74.72,182713040896.0,2026-05-27,yfinance
CIEINDIA,5,5,2,2,2,20.07,2.33,11.6,0.0,0.12,0.12,0.0,22.81,196.62,173653131264.0,2026-05-27,yfinance
CIPLA,5,5,2,3,1,29.52,3.48,11.79,0.2,0.05,0.05,33.5,48.05,407.53,1145622757376.0,2026-05-27,yfinance
COALINDIA,6,6,6,3,3,9.18,2.4,26.1,0.1,1.07,1.07,63.1,50.44,193.28,2853651349504.0,2026-05-27,yfinance
COLPAL,5,5,6,2,2,42.77,35.84,83.81,0.0,0.5,0.5,0.0,48.81,58.24,567742758912.0,2026-05-27,yfinance
CONCOR,3,3,1,2,2,28.85,2.81,9.75,0.0,-0.76,-0.76,0.0,16.37,167.9,359712129024.0,2026-05-27,yfinance
CRISIL,2,2,6,2,2,34.72,9.61,27.69,0.0,-0.71,-0.71,0.0,114.85,414.8,291591323648.0,2026-05-27,yfinance
CSBBANK,2,2,2,2,2,10.14,1.31,12.93,0.0,1.63,1.63,0.0,36.48,282.13,62715179008.0,2026-05-27,yfinance
DABUR,3,3,4,3,3,41.83,6.91,16.53,0.2,-0.48,-0.48,67.6,10.65,64.44,790090285056.0,2026-05-27,yfinance
DIVISLAB,7,6,4,3,3,70.39,11.7,16.62,0.1,0.66,0.66,51.8,96.57,580.95,1804522618880.0,2026-05-27,yfinance
DLF,3,3,1,2,3,33.35,3.24,9.7,0.4,0.7,0.7,74.1,17.81,183.53,1470087692288.0,2026-05-27,yfinance
DMART,5,5,2,3,3,90.55,10.97,12.12,0.2,0.51,0.51,74.7,45.55,375.95,2689784086528.0,2026-05-27,yfinance
DRREDDY,6,6,2,3,1,26.21,2.92,11.13,0.3,-0.67,-0.67,26.7,50.33,452.27,1098192584704.0,2026-05-27,yfinance
EICHERMOT,6,6,5,3,2,36.98,8.11,21.93,0.1,0.58,0.58,49.5,200.63,915.03,2036497252352.0,2026-05-27,yfinance
ETERNAL,3,3,1,3,1,641.27,7.58,1.18,0.1,2.53,2.53,22.1,0.4,33.83,2358325280768.0,2026-05-27,yfinance
GODREJCP,3,3,2,2,2,57.51,8.44,14.67,0.0,1.22,1.22,0.0,18.16,123.79,1068676677632.0,2026-05-27,yfinance
GODREJPROP,3,3,1,2,3,29.12,2.81,9.66,0.8,1.61,1.61,58.5,61.43,636.08,538740162560.0,2026-05-27,yfinance
GRASIM,7,6,1,2,3,43.36,2.16,4.98,0.6,0.16,0.16,56.6,73.11,1468.67,2149807816704.0,2026-05-27,yfinance
HAL,5,5,5,3,3,32.36,7.19,22.22,0.1,-0.33,-0.33,71.6,136.37,613.65,2951303921664.0,2026-05-27,yfinance
HAVELLS,2,2,4,3,3,45.02,8.03,17.84,0.1,0.83,0.83,61.5,26.9,150.74,759608049664.0,2026-05-27,yfinance
HCLTECH,2,2,5,3,3,18.99,4.21,22.17,0.1,0.28,0.28,60.4,61.35,276.68,3152626057216.0,2026-05-27,yfinance
HDFCBANK,2,2,2,1,1,16.94,1.99,11.76,0.9,-2.6,-2.6,25.7,44.79,380.71,11680346013696.0,2026-05-27,yfinance
HDFCLIFE,3,3,2,3,3,68.88,7.4,10.74,0.1,-1.49,-1.49,50.3,8.85,82.42,1315157835776.0,2026-05-27,yfinance
HEROMOTOCO,5,5,6,3,1,17.71,4.7,26.52,0.1,1.85,1.85,34.8,286.52,1080.26,1015471669248.0,2026-05-27,yfinance
HINDALCO,7,6,1,2,1,19.11,1.89,9.9,0.6,4.16,4.16,34.6,60.16,607.5,2570905190400.0,2026-05-27,yfinance
HINDUNILVR,3,3,5,3,3,48.54,10.6,21.84,0.1,-0.5,-0.5,61.9,45.29,207.37,5165341474816.0,2026-05-27,yfinance
ICICIBANK,3,3,2,2,1,17.01,2.51,14.76,0.8,-0.5,-0.5,30.2,74.83,506.99,9124401119232.0,2026-05-27,yfinance
ICICIPRULI,2,2,2,2,2,47.19,5.55,11.77,0.0,0.04,0.04,0.0,11.08,94.17,757660385280.0,2026-05-27,yfinance
INDIGO,3,3,6,1,2,55.13,18.85,34.19,1.2,1.99,1.99,36.6,82.89,242.43,1766976782336.0,2026-05-27,yfinance
INDUSINDBK,7,6,1,1,0,82.0,1.1,1.35,1.0,0.0,0.0,16.2,11.37,844.19,726360588288.0,2026-05-27,yfinance
INDUSTOWER,6,6,4,2,2,16.11,2.9,18.01,0.0,0.69,0.69,0.0,27.08,150.33,1150474125312.0,2026-05-27,yfinance
INFY,2,2,6,3,0,15.14,4.99,32.94,0.1,-0.67,-0.67,14.9,76.6,232.54,4694938222592.0,2026-05-27,yfinance
IOC,3,3,4,2,2,4.71,0.9,19.18,0.0,1.1,1.1,0.0,30.57,159.42,2032611098624.0,2026-05-27,yfinance
ITC,2,2,6,3,3,17.69,5.05,28.51,0.1,-3.22,-3.22,57.8,16.5,57.87,3657978347520.0,2026-05-27,yfinance
JIOFIN,2,2,1,2,2,100.78,1.15,1.14,0.0,0.92,0.92,0.0,2.41,211.44,1603837100032.0,2026-05-27,yfinance
JSWSTEEL,7,6,5,2,2,14.36,3.19,22.25,0.8,1.21,1.21,41.1,91.2,409.93,3195521466368.0,2026-05-27,yfinance
KOTAKBANK,5,5,2,2,3,20.05,2.13,10.65,0.6,0.01,0.01,72.6,19.39,182.12,3866191200256.0,2026-05-27,yfinance
LICI,5,5,6,2,2,9.13,4.31,47.2,0.0,-2.91,-2.91,0.0,90.88,192.55,5249748172800.0,2026-05-27,yfinance
LODHA,3,3,2,2,2,26.97,3.96,14.69,0.0,2.21,2.21,0.0,34.25,233.12,922647986176.0,2026-05-27,yfinance
LT,6,6,2,2,3,34.69,5.09,14.69,0.8,0.24,0.24,51.9,116.69,794.47,5568017203200.0,2026-05-27,yfinance
LTIM,3,3,3,3,3,0.0,0.0,0.0,0.1,0.46,0.46,68.7,0.0,0.0,0.0,2026-05-27,AO-FULL-quote
